Date,Temperature(C),Humidity(%),Rainfall(mm),Wind_speed(km/h)
2024-01-01,27.5,77,0.8,16.4
2024-01-02,24.3,92,5.4,18.1
2024-01-03,28.2,45,0.0,21.1
2024-01-04,32.6,97,0.5,21.3
2024-01-05,23.8,83,0.9,14.1
2024-01-06,23.8,84,1.3,19.0
2024-01-07,32.9,71,3.8,17.0
2024-01-08,28.8,84,0.2,27.1
2024-01-09,22.7,86,3.3,18.3
2024-01-10,27.7,60,0.1,16.0
2024-01-11,22.7,55,3.7,15.1
2024-01-12,22.7,93,0.1,19.3
2024-01-13,26.2,60,0.0,25.1
2024-01-14,15.4,50,2.4,18.5
2024-01-15,16.4,99,11.8,21.5
2024-01-16,22.2,76,4.5,23.4
2024-01-17,19.9,75,1.7,18.0
2024-01-18,26.6,74,5.0,15.7
2024-01-19,20.5,58,0.0,26.9
2024-01-20,17.9,59,7.4,15.4
2024-01-21,32.3,96,1.3,16.5
2024-01-22,23.9,57,2.6,29.8
2024-01-23,25.3,86,3.4,5.0
2024-01-24,17.9,80,2.5,9.6
2024-01-25,22.3,88,1.5,14.6
2024-01-26,25.6,53,1.3,28.3
2024-01-27,19.2,54,3.6,6.8
2024-01-28,26.9,70,0.5,5.2
2024-01-29,22.0,40,6.9,6.3
2024-01-30,23.5,92,2.5,7.2
2024-01-31,22.0,93,0.4,5.9
2024-02-01,34.3,93,2.7,17.0
2024-02-02,24.9,42,1.5,19.5
2024-02-03,19.7,55,2.5,11.8
2024-02-04,29.1,62,2.9,15.0
2024-02-05,18.9,96,0.2,7.3
2024-02-06,26.0,50,1.4,13.4
2024-02-07,15.2,51,5.4,18.1
2024-02-08,18.4,49,0.8,23.3
2024-02-09,26.0,71,1.8,5.1
2024-02-10,28.7,55,0.9,16.7
2024-02-11,25.9,47,1.2,12.4
2024-02-12,24.4,77,1.6,26.3
2024-02-13,23.5,51,1.6,22.9
2024-02-14,17.6,63,0.5,19.7
2024-02-15,21.4,67,2.3,11.9
2024-02-16,22.7,92,0.2,27.8
2024-02-17,30.3,47,0.3,6.1
2024-02-18,26.7,97,0.0,7.7
2024-02-19,16.2,67,0.2,14.8
2024-02-20,26.6,75,1.3,8.1
2024-02-21,23.1,65,1.9,28.9
2024-02-22,21.6,47,3.2,24.9
2024-02-23,28.1,97,0.2,11.5
2024-02-24,30.2,99,3.8,19.7
2024-02-25,29.7,89,2.7,29.6
2024-02-26,20.8,67,1.1,27.1
2024-02-27,23.5,67,5.4,20.0
2024-02-28,26.7,76,9.4,27.6
2024-02-29,29.9,80,0.5,29.7
2024-03-01,22.6,75,1.0,23.6
2024-03-02,24.1,66,5.2,6.6
2024-03-03,19.5,93,2.6,15.0
2024-03-04,19.0,56,0.1,25.9
2024-03-05,29.1,48,3.0,10.8
2024-03-06,31.8,72,3.5,25.8
2024-03-07,24.6,92,2.8,8.0
2024-03-08,30.0,59,3.2,6.2
2024-03-09,26.8,52,3.5,14.6
2024-03-10,21.8,67,0.4,5.9
2024-03-11,26.8,87,0.5,28.9
2024-03-12,32.7,68,2.0,25.7
2024-03-13,24.8,52,4.8,25.0
2024-03-14,32.8,85,0.8,20.7
2024-03-15,11.9,74,1.8,10.4
2024-03-16,29.1,45,2.3,18.0
2024-03-17,25.4,57,1.2,19.9
2024-03-18,23.5,90,2.5,18.1
2024-03-19,25.5,44,4.6,11.5
2024-03-20,15.1,86,2.0,17.9
2024-03-21,23.9,64,1.6,17.3
2024-03-22,26.8,41,1.2,29.9
2024-03-23,32.4,49,1.7,27.4
2024-03-24,22.4,95,0.9,16.6
2024-03-25,21.0,69,1.0,20.6
2024-03-26,22.5,89,1.5,23.7
2024-03-27,29.6,98,0.1,5.9
2024-03-28,26.6,84,0.5,27.4
2024-03-29,22.4,44,1.6,26.5
2024-03-30,27.6,94,1.1,16.4
2024-03-31,25.5,95,0.8,14.8
2024-04-01,29.8,72,2.6,11.8
2024-04-02,21.5,93,2.4,16.9
2024-04-03,23.4,40,0.4,6.1
2024-04-04,23.0,57,4.2,26.3
2024-04-05,17.7,71,1.4,5.9
2024-04-06,26.5,86,2.7,13.2
2024-04-07,26.3,88,1.7,28.3
2024-04-08,25.0,50,12.1,23.4
2024-04-09,23.8,60,2.8,12.0
2024-04-10,17.9,65,2.5,11.3
2024-04-11,22.9,64,3.0,5.1
2024-04-12,23.3,61,0.3,22.4
2024-04-13,21.0,98,0.5,6.2
2024-04-14,24.2,66,2.5,18.3
2024-04-15,27.0,88,1.4,29.1
2024-04-16,34.4,52,2.8,7.7
2024-04-17,25.9,72,0.2,27.4
2024-04-18,26.3,73,1.5,29.8
2024-04-19,24.6,80,1.0,6.5
2024-04-20,15.4,74,1.2,27.1
2024-04-21,24.9,40,1.9,17.9
2024-04-22,25.3,60,1.4,27.7
2024-04-23,37.3,87,1.6,19.3
2024-04-24,24.0,94,1.3,21.6
2024-04-25,26.5,45,1.1,18.6
2024-04-26,24.8,67,3.0,26.6
2024-04-27,19.2,56,0.0,23.3
2024-04-28,30.7,44,1.8,18.0
2024-04-29,28.8,70,1.7,26.7
2024-04-30,29.0,44,2.5,11.1
2024-05-01,20.5,77,1.8,8.9
2024-05-02,32.0,42,3.5,9.0
2024-05-03,18.0,92,6.4,13.4
2024-05-04,27.9,62,0.8,11.0
2024-05-05,36.0,76,0.5,28.3
2024-05-06,20.0,92,1.1,7.6
2024-05-07,22.2,76,0.7,22.5
2024-05-08,25.5,49,1.9,9.7
2024-05-09,22.5,49,4.9,27.0
2024-05-10,17.2,58,0.3,29.0
2024-05-11,25.3,56,0.2,16.6
2024-05-12,19.7,60,0.6,27.0
2024-05-13,27.4,53,2.6,5.1
2024-05-14,20.4,48,1.8,25.5
2024-05-15,32.7,85,0.2,10.7
2024-05-16,21.1,40,5.0,27.7
2024-05-17,23.4,90,3.1,5.0
2024-05-18,29.1,84,0.0,18.9
2024-05-19,18.8,52,2.1,23.9
2024-05-20,26.1,43,3.0,11.5
2024-05-21,31.5,40,0.9,9.8
2024-05-22,17.0,88,0.1,7.1
2024-05-23,25.9,79,0.2,13.2
2024-05-24,26.3,71,0.2,19.0
2024-05-25,28.9,73,3.7,7.9
2024-05-26,18.8,67,4.8,14.4
2024-05-27,18.4,70,0.3,5.2
2024-05-28,27.6,47,0.5,25.5
2024-05-29,26.5,78,0.4,8.2
2024-05-30,26.3,65,0.4,12.1
2024-05-31,26.7,97,3.6,5.5
2024-06-01,21.6,73,0.8,15.8
2024-06-02,26.2,93,0.7,26.0
2024-06-03,26.5,93,0.5,14.8
2024-06-04,21.4,42,1.9,9.5
2024-06-05,34.3,98,1.0,23.8
2024-06-06,27.4,89,2.7,24.7
2024-06-07,19.0,51,0.5,9.3
2024-06-08,28.3,40,3.1,24.3
2024-06-09,20.1,93,1.9,28.7
2024-06-10,28.9,83,0.2,9.2
2024-06-11,30.8,44,1.1,24.3
2024-06-12,20.9,69,4.0,22.7
2024-06-13,29.8,69,5.1,16.8
2024-06-14,27.1,98,1.3,6.4
2024-06-15,29.1,96,1.3,6.9
2024-06-16,34.5,56,5.0,26.3
2024-06-17,23.8,87,1.8,29.8
2024-06-18,21.2,86,0.1,21.9
2024-06-19,20.6,62,4.9,16.1
2024-06-20,20.9,54,0.6,21.2
2024-06-21,24.6,76,1.7,19.9
2024-06-22,26.7,60,0.4,14.6
2024-06-23,26.4,53,0.1,6.6
2024-06-24,29.1,41,0.7,25.5
2024-06-25,25.1,50,3.0,14.3
2024-06-26,32.3,90,0.7,25.5
2024-06-27,23.7,78,0.5,11.3
2024-06-28,38.6,77,0.5,5.0
2024-06-29,28.1,99,1.4,9.0
2024-06-30,20.7,73,7.4,16.7
2024-07-01,19.6,77,1.2,28.6
2024-07-02,27.4,89,1.6,7.6
2024-07-03,23.9,73,3.9,26.4
2024-07-04,28.6,57,1.5,18.2
2024-07-05,27.4,69,0.4,25.6
